URL,Title,Author(s),Year,Journal,Database,Citations_Counts,Open_Access,Query,Start_Year,End_Year
https://doi.org/10.1145/3331184.3331203,Reinforcement Knowledge Graph Reasoning for Explainable Recommendation,"Yikun Xian, Zuohui Fu,  + 3",2019,SIGIR'19: Proceedings of the 42nd International ACM SIGIR Conference on Research and Development in Information Retrieval,ACM,225,0,Explainable AND (Recommendation OR Recommender) AND Knowledge Graph AND Reinforcement Learning,2015,2024
https://doi.org/10.1145/3308558.3313607,Jointly Learning Explainable Rules for Recommendation with Knowledge Graph,"Weizhi Ma, Min Zhang, Yue Cao,  + 5",2019,WWW '19: The World Wide Web Conference,ACM,103,0,Explainable AND (Recommendation OR Recommender) AND Knowledge Graph AND Reinforcement Learning,2015,2024
https://doi.org/10.1145/3488560.3498515,Reinforcement Learning over Sentiment-Augmented Knowledge Graphs towards Accurate and Explainable Recommendation,"Sung-Jun Park, Dong-Kyu Chae,  + 3",2022,WSDM '22: Proceedings of the Fifteenth ACM International Conference on Web Search and Data Mining,ACM,13,0,Explainable AND (Recommendation OR Recommender) AND Knowledge Graph AND Reinforcement Learning,2015,2024
https://doi.org/10.1145/3579991,Reinforced Explainable Knowledge Concept Recommendation in MOOCs,"Lu Jiang, Kunpeng Liu, Yibin Wang,  + 4",2023,ACM Transactions on Intelligent Systems and Technology (TIST),ACM,1,0,Explainable AND (Recommendation OR Recommender) AND Knowledge Graph AND Reinforcement Learning,2015,2024
https://doi.org/10.1145/3630138.3630436,Recommendation System Based on Temporal Knowledge Graph Path Reasoning,"Haoyuan Ren, Liangzhong Cui",2024,"PCCNT '23: Proceedings of the 2023 International Conference on Power, Communication, Computing and Networking Technologies",ACM,0,0,Explainable AND (Recommendation OR Recommender) AND Knowledge Graph AND Reinforcement Learning,2015,2024
https://doi.org/10.1145/3404835.3462900,DEKR: Description Enhanced Knowledge Graph for Machine Learning Method Recommendation,"Xianshuai Cao, Yuliang Shi, Han Yu,  + 4",2021,SIGIR '21: Proceedings of the 44th International ACM SIGIR Conference on Research and Development in Information Retrieval,ACM,10,0,Explainable AND (Recommendation OR Recommender) AND Knowledge Graph AND Reinforcement Learning,2015,2024
https://doi.org/10.1145/3498851.3498926,Heterogeneous Graph Learning for Explainable Recommendation over Academic Networks,"Xiangtai Chen, Tao Tang, Jing Ren,  + 3",2022,WI-IAT '21: IEEE/WIC/ACM International Conference on Web Intelligence and Intelligent Agent Technology,ACM,2,0,Explainable AND (Recommendation OR Recommender) AND Knowledge Graph AND Reinforcement Learning,2015,2024
https://doi.org/10.1145/3583780.3614943,KG4Ex: An Explainable Knowledge Graph-Based Approach for Exercise Recommendation,"Quanlong Guan, Fang Xiao, Xinghe Cheng,  + 4",2023,CIKM '23: Proceedings of the 32nd ACM International Conference on Information and Knowledge Management,ACM,0,0,Explainable AND (Recommendation OR Recommender) AND Knowledge Graph AND Reinforcement Learning,2015,2024
https://doi.org/10.1145/3584376.3584540,Application on E-Commerce Knowledge Graph Recommendation Model Integrating Attention Mechanism and Random Features,Jin Li,2023,"RICAI '22: Proceedings of the 2022 4th International Conference on Robotics, Intelligent Control and Artificial Intelligence",ACM,0,0,Explainable AND (Recommendation OR Recommender) AND Knowledge Graph AND Reinforcement Learning,2015,2024
https://doi.org/10.1145/3639706,Privacy-preserving Multi-source Cross-domain Recommendation Based on Knowledge Graph,"Jing Liu, Litao Shang, Yuting Su,  + 3",2024,"ACM Transactions on Multimedia Computing, Communications, and Applications (TOMM)",ACM,0,0,Explainable AND (Recommendation OR Recommender) AND Knowledge Graph AND Reinforcement Learning,2015,2024
